srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
1000734728,29249,2511044102,80,3,3,2.006714,1052,824,31,29,2,2,2,3671.674072,2958.06958,8,10,255,255,3135630242,3136777788,132,82,0,0,23382.17365,623.002813,1421927441,1421927443,286.504277,222.902672,0.000756,0.000582,0.000174,0,0,0,0,0,5,4,8,5,5,1,2,0,0
1000734726,10963,2511044100,80,3,3,4.503565,1052,824,31,29,2,2,2,1636.037231,1318.067017,8,10,255,255,1633526940,1634749453,132,82,0,0,53243.33316,1407.769125,1421927439,1421927443,643.061,500.333875,0.000712,0.000552,0.00016,0,0,0,0,0,4,3,3,4,4,1,1,0,0
1000734729,23654,2511044102,80,3,3,3.846685,1052,824,31,29,2,2,2,1915.415527,1543.146973,8,10,255,255,2053527105,4200098327,132,82,0,0,45016.37805,1207.825375,1421927439,1421927443,549.471875,427.344,0.000735,0.000581,0.000154,0,0,0,0,0,3,4,8,4,3,1,1,0,0
1000734720,61696,2511044104,80,3,3,6.112835,1052,824,31,29,2,2,2,1205.332764,971.071533,8,10,255,255,733533789,2884200102,132,82,0,0,71089.99714,1918.7785,1421927437,1421927443,873.109982,679.140688,0.000695,0.000539,0.000156,0,0,0,0,0,4,5,5,5,4,1,1,0,0
1000734723,37739,2511044103,80,3,3,8.212167,1052,824,31,29,2,2,2,897.205383,722.829956,8,10,255,255,3890592149,3891641222,132,82,0,0,93930.05725,2524.193,1421927435,1421927443,1172.968679,912.403688,0.000666,0.000529,0.000137,0,0,0,0,0,4,4,4,6,4,1,1,0,0
1000734721,11725,2511044101,6881,3,3,0.037329,1540,1644,31,29,4,4,0,309464.5,332824.3438,16,18,255,255,118433967,2290187746,96,91,0,0,147.216147,4.082238,1421927443,1421927443,2.468133,2.128118,0.001938,0.001148,0.00079,0,0,0,0,0,7,4,11,6,3,1,4,0,0
1000734723,56661,2511044101,53,1,1,0.013642,132,164,31,29,0,0,1,38704.00391,48086.78906,2,2,0,0,0,0,66,82,0,0,0,0,1421927443,1421927443,0.004,0.004,0,0,0,0,0,0,0,0,3,2,11,6,2,1,1,0,0
1000734724,49403,2511044102,6881,3,3,0.08608,1540,1644,31,29,4,4,0,134200.75,144330.8594,16,18,255,255,121014222,2313942700,96,91,0,0,371.951619,11.191453,1421927443,1421927443,5.715,5.031471,0.001016,0.000544,0.000472,0,0,0,0,0,3,3,8,5,3,1,3,0,0
1000734727,3326,2511044101,6881,3,3,0.03954,1540,1644,31,29,4,4,0,292159.8438,314213.4375,16,18,255,255,3431434191,2216340940,96,91,0,0,165.894192,4.291281,1421927443,1421927443,2.582867,2.289647,0.000728,0.000611,0.000117,0,0,0,0,0,1,4,11,5,1,1,2,0,0
1000734729,26669,2511044096,6881,3,3,0.060162,1540,1644,31,29,4,4,0,192014.8906,206509.0938,16,18,255,255,4198916846,2238175610,96,91,0,0,249.559622,8.14583,1421927443,1421927443,3.934867,3.467647,0.001353,0.001207,0.000146,0,0,0,0,0,1,2,9,4,1,1,1,0,0
1000734720,47184,2511044097,80,3,3,14.197116,1052,824,31,29,2,2,2,518.978638,418.113098,8,10,255,255,108494395,2259168986,132,82,0,0,169007.7226,4453.7095,1421927429,1421927443,2028.104286,1577.395625,0.000691,0.000551,0.00014,0,0,0,0,0,4,3,3,5,4,1,1,0,0
1000734722,24697,2511044103,80,3,3,23.899174,1052,824,31,29,2,2,2,308.295166,248.376785,8,10,255,255,2880527051,2877475117,132,82,0,0,284734.3095,7502.456,1421927419,1421927443,3414.057571,2655.39775,0.000727,0.000583,0.000144,0,0,0,0,0,6,4,4,7,6,1,2,0,0
1000734722,20446,2511044104,80,3,3,28.12635,1052,824,31,29,2,2,2,261.960754,211.047638,8,10,255,255,2628012507,479532670,132,82,0,0,332676.218,8743.158,1421927415,1421927443,4017.865429,3125.08425,0.000755,0.000583,0.000172,0,0,0,0,0,6,5,5,7,6,1,1,0,0
1000734726,50089,2511044105,80,3,3,28.680214,1052,824,31,29,2,2,2,256.901855,206.971954,8,10,255,255,4291299719,2147024129,132,82,0,0,342124.9889,9002.543,1421927414,1421927443,4097.085429,3186.62175,0.000765,0.000608,0.000157,0,0,0,0,0,4,3,5,4,4,1,1,0,0
