srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
1000734729,9685,2511044098,80,3,3,5.864748,19410,1087890,31,29,2,370,2,26404.54492,1481982.875,364,746,255,255,389619597,394688654,53,1458,1,0,1031.366423,690.219581,1424250003,1424250009,16.155447,7.871279,0.000771,0.000638,0.000133,0,0,1,0,0,3,1,4,4,1,1,1,0,0
1000734722,1421,2511044100,53,1,1,0.001391,146,178,31,29,0,0,1,419841.8438,511861.9688,2,2,0,0,0,0,73,89,0,0,0,0,1424250009,1424250009,0.009,0.002,0,0,0,0,0,0,0,0,3,5,2,7,1,1,4,0,0
1000734722,21553,2511044098,25,3,3,0.053948,37812,3380,31,29,19,8,3,5503373.5,489360.125,54,42,255,255,4047523379,1903327524,700,80,0,0,65.909688,3.155258,1424250009,1424250009,1.011547,1.302561,0.000674,0.00054,0.000134,0,0,0,0,0,1,1,4,7,1,1,3,0,0
1000734728,45212,2511044100,53,1,1,0.000953,146,178,31,29,0,0,1,612801.6875,747114.375,2,2,0,0,0,0,73,89,0,0,0,0,1424250009,1424250009,0.009,0.004,0,0,0,0,0,0,0,0,2,5,2,1,1,1,2,0,0
1000734720,59922,2511044104,6881,3,3,8.633186,25056,1094788,31,29,38,390,0,23166.41797,1013311.125,446,858,255,255,497111133,526810925,56,1276,0,0,7751.70264,5572.343447,1424250000,1424250009,19.443407,10.084887,0.000654,0.000516,0.000138,0,0,0,0,0,9,7,2,3,2,1,6,0,0
2939006976,49582,2511044108,80,3,3,0.189983,13304,268,254,252,6,1,2,529100,9432.422852,18,6,255,255,157871242,468891365,739,45,1,0,842.127346,66.237773,1424250009,1424250009,11.175471,35.431199,0.062013,0.007572,0.054441,0,1,1,0,0,1,1,1,1,1,1,1,1,1
2939006977,0,2511044107,0,7,2,9.00E-06,440,0,254,0,0,0,0,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,-1,1
2939006977,0,2511044107,0,7,2,9.00E-06,440,0,254,0,0,0,0,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,1,1
2939006977,0,2511044107,0,7,2,9.00E-06,440,0,254,0,0,0,0,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,1,1
2939006977,0,2511044107,0,7,2,9.00E-06,440,0,254,0,0,0,0,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,1,1
